Hall,Practice_hours,Posts_shared,Bulla_hours,Classes_missed,Relationship_status,Enthu
2,11,0,1,1,Committed_inside_campus,0
2,7,0,5,1,Single_and_stud,0
2,3,1,3,0,Committed_inside_campus,0
2,6,1,3,4,Long_distance_lover,0
2,13,2,3,4,Long_distance_lover,0
2,5,3,4,0,Committed_inside_campus,0
2,2,0,0,3,Single_and_stud,0
2,2,3,5,4,Single_and_stud,0
2,13,3,5,3,Single_and_stud,0
2,12,1,3,1,Single_and_stud,0
2,9,1,1,1,Single_and_stud,0
2,12,2,5,3,Single_and_stud,0
2,2,0,4,0,Long_distance_lover,0
2,,,,,,0
2,12,2,6,2,Committed_inside_campus,0
2,,,,,,0
2,7,0,0,0,Committed_inside_campus,0
2,,,,,,0
2,2,3,2,3,Long_distance_lover,0
2,8,2,2,0,Single_and_stud,0
2,11,1,1,2,Long_distance_lover,0
2,10,2,4,1,Committed_inside_campus,0
2,2,0,4,1,Long_distance_lover,0
2,11,1,1,1,Committed_inside_campus,0
2,,,,,,0
2,6,3,6,4,Long_distance_lover,0
2,1,0,1,3,Single_and_stud,0
2,11,2,0,0,Committed_inside_campus,0
2,7,4,2,3,Committed_inside_campus,0
2,4,0,2,1,Long_distance_lover,0
2,9,1,0,3,Committed_inside_campus,0
2,5,0,1,3,Committed_inside_campus,0
2,4,3,1,4,Committed_inside_campus,0
2,3,4,6,4,Committed_inside_campus,0
2,11,1,0,1,Committed_inside_campus,0
2,6,1,1,0,Single_and_stud,0
2,0,1,3,1,Single_and_stud,0
2,6,2,4,2,Committed_inside_campus,0
2,4,1,2,0,Long_distance_lover,0
2,13,2,5,0,Long_distance_lover,0
2,0,4,2,4,Single_and_stud,0
2,11,3,2,1,Long_distance_lover,0
2,9,3,2,0,Long_distance_lover,0
2,13,3,4,1,Committed_inside_campus,0
2,2,4,5,2,Single_and_stud,0
2,6,4,5,1,Committed_inside_campus,0
2,8,2,1,1,Single_and_stud,0
2,0,2,4,3,Committed_inside_campus,0
2,6,0,3,3,Committed_inside_campus,0
2,8,4,4,1,Single_and_stud,0
2,,,,,,0
2,4,0,5,0,Single_and_stud,0
2,7,1,4,4,Long_distance_lover,0
2,12,0,6,3,Single_and_stud,0
2,11,1,6,0,Committed_inside_campus,0
2,0,1,3,0,Single_and_stud,0
2,1,3,5,0,Long_distance_lover,0
2,,,,,,0
2,7,0,6,0,Committed_inside_campus,0
2,2,1,0,2,Long_distance_lover,0
2,,,,,,0
2,0,4,6,0,Single_and_stud,0
2,4,1,6,4,Single_and_stud,0
2,4,2,6,1,Long_distance_lover,0
2,5,2,4,3,Committed_inside_campus,0
2,0,2,5,2,Single_and_stud,0
2,0,0,0,2,Single_and_stud,0
2,,,,,,0
2,13,4,4,3,Committed_inside_campus,0
2,7,2,1,1,Committed_inside_campus,0
2,,,,,,0
2,5,2,2,1,Single_and_stud,0
2,11,4,5,2,Single_and_stud,0
2,7,3,0,2,Long_distance_lover,0
2,12,2,0,1,Single_and_stud,0
2,10,3,2,0,Long_distance_lover,0
2,9,0,5,3,Single_and_stud,0
2,13,1,4,0,Single_and_stud,0
2,11,0,6,3,Single_and_stud,0
2,12,1,5,4,Single_and_stud,0
2,,,,,,0
2,4,4,0,4,Committed_inside_campus,0
2,9,0,0,2,Committed_inside_campus,0
2,10,1,4,0,Single_and_stud,0
2,3,4,4,1,Committed_inside_campus,0
2,5,3,1,3,Long_distance_lover,0
2,13,0,0,3,Single_and_stud,0
2,0,2,5,4,Single_and_stud,0
2,11,4,4,3,Long_distance_lover,0
2,1,2,3,2,Committed_inside_campus,0
2,8,2,1,2,Committed_inside_campus,0
2,7,0,3,0,Single_and_stud,0
2,8,3,1,1,Single_and_stud,0
2,11,3,0,0,Long_distance_lover,0
2,9,3,1,2,Single_and_stud,0
2,12,4,4,2,Committed_inside_campus,0
2,0,2,5,1,Long_distance_lover,0
2,13,3,6,3,Single_and_stud,0
2,1,0,3,4,Committed_inside_campus,0
2,10,2,1,4,Committed_inside_campus,0
2,,,,,,0
2,,,,,,0
2,0,1,5,4,Single_and_stud,0
2,13,2,5,0,Committed_inside_campus,0
2,8,3,3,3,Single_and_stud,0
2,,,,,,0
2,3,3,2,0,Long_distance_lover,0
2,,,,,,0
2,7,1,3,0,Committed_inside_campus,0
2,7,3,3,0,Committed_inside_campus,0
2,9,1,0,2,Single_and_stud,0
2,,,,,,0
2,4,2,5,1,Committed_inside_campus,0
2,12,0,3,4,Single_and_stud,0
2,11,3,5,3,Long_distance_lover,0
2,,,,,,0
2,6,1,2,3,Long_distance_lover,0
2,9,0,2,3,Long_distance_lover,0
2,13,1,3,3,Single_and_stud,0
2,9,3,2,3,Committed_inside_campus,0
2,8,1,1,4,Committed_inside_campus,0
2,10,2,5,0,Single_and_stud,0
2,,,,,,0
2,10,4,0,3,Committed_inside_campus,0
2,6,1,2,1,Committed_inside_campus,0
2,9,2,3,2,Long_distance_lover,0
2,13,4,6,3,Single_and_stud,0
2,,,,,,0
2,7,3,0,4,Single_and_stud,0
2,6,3,4,2,Single_and_stud,0
3,15,3,3,1,Single_and_stud,0
3,3,4,4,3,Committed_inside_campus,0
3,,,,,,0
3,,,,,,0
3,13,5,0,6,Long_distance_lover,0
3,7,4,4,5,Single_and_stud,0
3,6,2,2,4,Long_distance_lover,0
3,,,,,,0
3,10,2,8,0,Single_and_stud,0
3,4,0,5,2,Committed_inside_campus,0
3,1,0,2,2,Single_and_stud,0
3,,,,,,0
3,5,1,3,3,Long_distance_lover,0
3,,,,,,0
3,3,2,7,3,Long_distance_lover,0
3,,,,,,0
3,,,,,,0
3,,,,,,0
3,12,5,6,6,Single_and_stud,0
3,14,4,4,5,Long_distance_lover,0
3,,,,,,0
3,7,0,4,3,Long_distance_lover,0
3,,,,,,0
3,,,,,,0
3,,,,,,0
3,8,5,7,6,Long_distance_lover,0
3,,,,,,0
3,13,5,4,2,Single_and_stud,0
3,10,3,7,6,Single_and_stud,0
3,8,0,2,6,Committed_inside_campus,0
3,5,0,0,0,Long_distance_lover,0
3,6,2,3,6,Long_distance_lover,0
3,12,2,0,4,Committed_inside_campus,0
3,4,1,2,1,Committed_inside_campus,0
3,6,4,1,3,Long_distance_lover,0
3,,,,,,0
3,10,1,5,2,Committed_inside_campus,0
3,12,1,5,1,Committed_inside_campus,0
3,8,4,2,3,Committed_inside_campus,0
3,1,2,3,3,Committed_inside_campus,0
3,5,3,2,4,Single_and_stud,0
3,,,,,,0
3,13,4,3,0,Single_and_stud,0
3,15,2,3,2,Single_and_stud,0
3,6,5,0,3,Long_distance_lover,0
3,5,5,2,4,Committed_inside_campus,0
3,,,,,,0
3,1,4,7,4,Committed_inside_campus,0
3,4,4,1,2,Long_distance_lover,0
3,5,5,0,2,Single_and_stud,0
3,,,,,,0
3,6,5,0,3,Committed_inside_campus,0
3,11,4,6,1,Long_distance_lover,0
3,4,4,4,3,Committed_inside_campus,0
3,14,5,2,4,Long_distance_lover,0
3,2,3,5,4,Long_distance_lover,0
3,5,0,2,4,Single_and_stud,0
3,,,,,,0
3,8,4,2,4,Long_distance_lover,0
3,12,5,2,2,Long_distance_lover,0
3,,,,,,0
3,7,0,3,4,Single_and_stud,0
3,4,4,3,4,Committed_inside_campus,0
3,8,3,4,2,Long_distance_lover,0
3,15,2,7,5,Single_and_stud,0
3,12,5,0,3,Long_distance_lover,0
3,4,2,8,5,Committed_inside_campus,0
3,,,,,,0
3,3,0,0,2,Committed_inside_campus,0
3,10,2,1,5,Single_and_stud,0
3,,,,,,0
3,0,0,2,4,Long_distance_lover,0
3,15,2,2,3,Committed_inside_campus,0
3,9,5,6,0,Committed_inside_campus,0
3,1,2,0,0,Long_distance_lover,0
3,6,4,5,3,Long_distance_lover,0
3,13,4,0,6,Committed_inside_campus,0
3,11,2,4,5,Long_distance_lover,0
3,13,3,5,0,Single_and_stud,0
3,15,4,5,2,Single_and_stud,0
3,,,,,,0
3,,,,,,0
3,0,1,8,3,Long_distance_lover,0
3,12,2,1,2,Committed_inside_campus,0
3,2,3,1,2,Long_distance_lover,0
3,15,1,8,2,Single_and_stud,0
3,0,1,1,4,Committed_inside_campus,0
3,,,,,,0
3,10,3,7,5,Committed_inside_campus,0
3,5,3,3,1,Single_and_stud,0
3,1,3,8,1,Single_and_stud,0
3,7,2,6,0,Committed_inside_campus,0
3,,,,,,0
3,,,,,,0
3,,,,,,0
3,,,,,,0
3,14,1,4,3,Single_and_stud,0
3,4,0,7,3,Long_distance_lover,0
3,5,2,1,2,Long_distance_lover,0
3,6,2,1,1,Single_and_stud,0
3,,,,,,0
3,,,,,,0
3,2,2,7,1,Long_distance_lover,0
3,0,0,8,5,Single_and_stud,0
3,8,3,6,4,Long_distance_lover,0
3,,,,,,0
3,1,1,7,6,Committed_inside_campus,0
3,,,,,,0
3,0,5,6,1,Committed_inside_campus,0
3,1,5,3,2,Committed_inside_campus,0
3,,,,,,0
3,,,,,,0
3,6,1,4,4,Single_and_stud,0
3,1,2,7,6,Long_distance_lover,0
3,4,0,7,1,Long_distance_lover,0
3,,,,,,0
3,3,5,3,1,Long_distance_lover,0
3,15,1,8,2,Single_and_stud,0
3,10,1,7,1,Long_distance_lover,0
3,10,4,8,5,Single_and_stud,0
3,9,2,3,4,Single_and_stud,0
3,,,,,,0
3,,,,,,0
3,9,0,1,3,Long_distance_lover,0
3,3,0,5,0,Single_and_stud,0
3,2,5,1,1,Long_distance_lover,0
3,13,3,5,4,Committed_inside_campus,0
3,,,,,,0
3,10,2,1,3,Committed_inside_campus,0
3,0,0,0,1,Committed_inside_campus,0
3,,,,,,0
